Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie,Sab
['6 C V 2'],['V I S I O N   P O R   C O M P U T A D O R A M A C H I N E   L E A R N I N G'],['U R I A R T E A R C I A A B R I L   V A L E R I A'],['3'],['2 1 1'],['1 3 : 3 0 - 1 5 : 0 0'],['1 3 : 3 0 - 1 5 : 0 0'],,['1 3 : 3 0 - 1 5 : 0 0'],,
['6 C V 2'],['I N G E N I E R I A   D E   S O F T W A R E'],['G O N Z A L E Z   R A M I R E Z   M A R K O   A L F O N S O'],['3'],['2 1 1'],['1 8 : 3 0 - 2 0 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],,
['6 C V 2'],['A P L I C A C I O N E S   P A R A   C O M U N I C A C I O N E S   E N   R E D'],['S A L A S   R A M I R E Z   I S R A E L'],['3'],['2 1 1'],,['1 5 : 0 0 - 1 6 : 3 0'],['1 5 : 0 0 - 1 6 : 3 0'],,['1 5 : 0 0 - 1 6 : 3 0'],
['6 C V 3'],['I N T E L I G E N C I A A R T I F I C I A L'],['C A M A C H O   V A Z Q U E Z   V A N E S S A A L E J A N D R A'],['3'],['2 1 2'],['1 8 : 3 0 - 2 0 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],,
['6 C V 3'],['S I S T E M A S   E N   C H I P'],['L I N A R E S   V A L L E J O   E R I C K   E U G E N I O'],['3'],['2 1 2'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 6 : 3 0 - 1 8 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,
['6 C V 3'],['M E T O D O S   C U A N T I T A T I V O S   P A R A   L A   T O M A   D E   D E C I S I O N E S'],['M E D I N A   M E J I A   V I R G I N I A'],['3'],['2 1 2'],['2 0 : 0 0 - 2 1 : 3 0'],,['2 0 : 0 0 - 2 1 : 3 0'],['2 0 : 0 0 - 2 1 : 3 0'],,
['6 C V 3'],['C O M P U T A C I O N   G R A F I C A / C O M P U T E R   G R A P H I C S'],['P A L M A   O R O Z C O   R O S A U R A'],['3'],['2 1 2'],['1 3 : 3 0 - 1 5 : 0 0'],['1 3 : 3 0 - 1 5 : 0 0'],,['1 3 : 3 0 - 1 5 : 0 0'],,
['6 C V 3'],['I N G E N I E R I A   D E   S O F T W A R E'],['E N   C O N T R A T A C I O N'],['3'],['2 1 2'],,,,,,
['6 C V 3'],['A P L I C A C I O N E S   P A R A   C O M U N I C A C I O N E S   E N   R E D'],['P E R E Z   D E   L O S   S A N T O S   M O N D R A G O N   T A N I B E T'],['3'],['2 1 2'],,['1 5 : 0 0 - 1 6 : 3 0'],['1 5 : 0 0 - 1 6 : 3 0'],,['1 5 : 0 0 - 1 6 : 3 0'],
['6 C V 4'],['I N T E L I G E N C I A A R T I F I C I A L'],['E S C A L A N T E   N O T A R I O   E N R I Q U E'],['3'],['0 1 1'],['1 8 : 3 0 - 2 0 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],['1 3 : 3 0 - 1 5 : 0 0'],,,
['6 C V 4'],['S I S T E M A S   E N   C H I P'],['M O R A L E S   C R U Z   J U A N   C A R L O S'],['3'],['2 1 3'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 6 : 3 0 - 1 8 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,
['6 C V 4'],['C R I P T O G R A F I A I N T R O D U C T I O N   T O   C R Y P T O G R A P H Y'],['P O R T I L L O   C E D I L L O   M A N U E L'],['3'],['2 1 3'],['1 5 : 3 0 - 1 6 : 3 0'],,,['1 5 : 0 0 - 1 6 : 3 0'],['1 6 : 3 0 - 1 8 : 0 0'],
['6 C V 4'],['A L G O R I T M O S   B I O I N S P I R A D O S G E N E T I C   A L G O R I T H M S'],['M O L I N A   P É R E Z   D A N I E L'],['3'],['2 1 3'],,,['1 5 : 0 0 - 1 6 : 3 0 1 5 : 0 0 - 1 6 : 3 0'],,['1 5 : 0 0 - 1 6 : 3 0'],
